"","concept_code","string","string_type"
"140",17,"Alemtuzumab","preferred name"
"141",17,"LDP03","code name"
"142",17,"Campath","brand name"
"143",17,"Campath-1H","brand name"
"144",17,"Lemtrada","brand name"
"145",17,"MabCampath","brand name"
"321",19,"Alisertib","preferred name"
"322",19,"MLN8237","code name"
"323",20,"All-trans retinoic acid","preferred name"
"324",20,"all-trans retinoic acid","generic name"
"325",20,"ATRA","generic name"
"326",20,"tretinoin","generic name"
"327",20,"CA ATRA","brand name"
"328",20,"Ves-ATRA","brand name"
"329",20,"Vesanoid","brand name"
"354",23,"Altretamine","preferred name"
"355",23,"hexamethylmelamine","generic name"
"356",23,"HMM","generic name"
"357",23,"Hexalen","brand name"
"358",23,"Hexastat","brand name"
"374",28,"Aminoglutethimide","preferred name"
"375",28,"Aminoblastin","brand name"
"376",28,"Cytadren","brand name"
"377",28,"Elipten","brand name"
"378",28,"Orimentin","brand name"
"379",28,"Orimeten","brand name"
"380",28,"Orimetene","brand name"
"381",28,"Rodazol","brand name"
"382",29,"Aminopterin","preferred name"
"383",29,"4-aminopteroyl-glutamic acid","generic name"
"384",30,"Amrubicin","preferred name"
"385",30,"AMR","generic name"
"386",30,"amrubicin HCI","generic name"
"387",30,"SM-5887","code name"
"388",30,"Calsed","brand name"
"389",31,"Amsacrine","preferred name"
"390",31,"acridinyl anisidide","generic name"
"391",31,"AMSA","generic name"
"392",31,"Cain's acridine","generic name"
"393",31,"m-AMSA","generic name"
"394",31,"CI-880","code name"
"395",31,"SN-11841","code name"
"396",31,"Amekrin","brand name"
"397",31,"Amsa P-D","brand name"
"398",31,"Amsidine","brand name"
"399",31,"Amsidyl","brand name"
"400",31,"Lamasine","brand name"
"404",33,"Anastrozole","preferred name"
"405",33,"Altraz","brand name"
"406",33,"Anabrez","brand name"
"407",33,"Anastraze","brand name"
"408",33,"Anastrazol Rontag","brand name"
"409",33,"Anastrol","brand name"
"410",33,"Arimidex","brand name"
"411",33,"Asiolex","brand name"
"412",33,"Karomex","brand name"
"413",33,"Leprofen","brand name"
"414",33,"RUI SI YI","brand name"
"415",33,"RUI Ting","brand name"
"416",33,"Trozolet","brand name"
"417",33,"Trozolite","brand name"
"434",39,"Apalutamide","preferred name"
"435",39,"ARN-509","code name"
"436",39,"Erleada","brand name"
"437",40,"Apatinib","preferred name"
"438",40,"rivoceranib","generic name"
"439",40,"YN968D1","code name"
"440",40,"Aitan","brand name"
"452",44,"Arsenic trioxide","preferred name"
"453",44,"Arsenol","brand name"
"454",44,"Arsenox","brand name"
"455",44,"Leusenox","brand name"
"456",44,"Trisenox","brand name"
"457",45,"Asparaginase","preferred name"
"458",45,"colaspase","generic name"
"459",45,"crisantaspase","generic name"
"460",45,"L Asparaginase","generic name"
"461",45,"L-ASP","generic name"
"462",45,"Asparaginasa","brand name"
"463",45,"Chephacardin","brand name"
"464",45,"Crasnitin","brand name"
"465",45,"Elspar","brand name"
"466",45,"Engenase","brand name"
"467",45,"Kidrolase","brand name"
"468",45,"L Asparaginasa","brand name"
"469",45,"L Asparaginasum","brand name"
"470",45,"L-Asperone","brand name"
"471",45,"L-Ginase","brand name"
"472",45,"Laspar","brand name"
"473",45,"Leucoginase","brand name"
"474",45,"Leunase","brand name"
"475",45,"Onconase","brand name"
"476",45,"Paronal","brand name"
"477",45,"Spectrila","brand name"
"478",46,"Asparaginase Erwinia chrysanthemi","preferred name"
"479",46,"crisantaspase","generic name"
"480",46,"crisantaspasum","generic name"
"481",46,"Erwinia L-asparginase","generic name"
"482",46,"krisantaspaasi","generic name"
"483",46,"krisantaspas","generic name"
"484",46,"Erwinase","brand name"
"485",46,"Erwinaze","brand name"
"734",49,"Atezolizumab","preferred name"
"735",49,"MPDL3280A","code name"
"736",49,"RG7446","code name"
"737",49,"RO5541267","code name"
"738",49,"Tecentriq","brand name"
"748",53,"Avelumab","preferred name"
"749",53,"MSB0010718C","code name"
"750",53,"Bavencio","brand name"
"751",54,"Axicabtagene ciloleucel","preferred name"
"752",54,"Axi-cel","generic name"
"753",54,"Axicel","generic name"
"754",54,"KTE-C19","code name"
"755",54,"Yescarta","brand name"
"756",55,"Axitinib","preferred name"
"757",55,"AG-013736","code name"
"758",55,"AG013736","code name"
"759",55,"Axishil","brand name"
"760",55,"Axpero","brand name"
"761",55,"Inlybest","brand name"
"762",55,"Inlyta","brand name"
"763",55,"Luciax","brand name"
"764",56,"Azacitidine","preferred name"
"765",56,"5-azacitidine","generic name"
"766",56,"5-azacytidine","generic name"
"767",56,"Azacitidina","brand name"
"768",56,"Azacytin","brand name"
"769",56,"Azadine","brand name"
"770",56,"Azafect","brand name"
"771",56,"Azaplast","brand name"
"772",56,"Citaza","brand name"
"773",56,"MyAza","brand name"
"774",56,"Myelotex","brand name"
"775",56,"Vidaza","brand name"
"776",56,"Xpreza","brand name"
"781",59,"Bacillus Calmette-Guerin","preferred name"
"782",59,"Bacille Calmette Guerin","generic name"
"783",59,"TheraCys","brand name"
"784",59,"TICE BCG","brand name"
"787",61,"Bavituximab","preferred name"
"788",61,"PGN401","code name"
"789",61,"Tarvacin","brand name"
"792",63,"Belinostat","preferred name"
"793",63,"PXD101","code name"
"794",63,"Beleodaq","brand name"
"795",64,"Belotecan","preferred name"
"796",64,"belotecan hydrochloride","generic name"
"797",64,"CKD-602","code name"
"798",64,"Camptobell","brand name"
"799",65,"Bendamustine","preferred name"
"800",65,"bendamustin hydrochloride","generic name"
"801",65,"bendamustine hydrochloride","generic name"
"802",65,"cytostasan hydrochloride","generic name"
"803",65,"CEP-18083","code name"
"804",65,"SDX-105","code name"
"805",65,"SyB L-0501","code name"
"806",65,"Belrapzo","brand name"
"807",65,"Bendamax","brand name"
"808",65,"Bendawel","brand name"
"809",65,"Bendeka","brand name"
"810",65,"Bendit","brand name"
"811",65,"Innomustine","brand name"
"812",65,"Leuben","brand name"
"813",65,"Levact","brand name"
"814",65,"Maxtorin","brand name"
"815",65,"MyMust","brand name"
"816",65,"Purplz","brand name"
"817",65,"Ribomustin","brand name"
"818",65,"Treakisym","brand name"
"819",65,"Treanda","brand name"
"820",65,"Xyotin","brand name"
"827",68,"Bevacizumab","preferred name"
"828",68,"rhuMab-VEGF","generic name"
"829",68,"Altuzan","brand name"
"830",68,"Avastin","brand name"
"831",68,"BevaciRel","brand name"
"832",68,"Bevarest","brand name"
"833",69,"Bexarotene","preferred name"
"834",69,"LGD1069","code name"
"835",69,"Bexgratin","brand name"
"836",69,"Targretin","brand name"
"837",70,"Bicalutamide","preferred name"
"838",70,"Calutide","brand name"
"839",70,"Casodex","brand name"
"840",70,"Cosudex","brand name"
"841",70,"Kalumid","brand name"
"842",71,"Binimetinib","preferred name"
"843",71,"ARRY-162","code name"
"844",71,"ARRY-438162","code name"
"845",71,"MEK162","code name"
"846",71,"Mektovi","brand name"
"850",73,"Bleomycin","preferred name"
"851",73,"Blenoxane","brand name"
"852",73,"Bleo","brand name"
"853",73,"Bleocin","brand name"
"854",73,"Bleocip","brand name"
"855",73,"Bleopar","brand name"
"856",73,"Bleowel","brand name"
"857",74,"Blinatumomab","preferred name"
"858",74,"AMG 103","code name"
"859",74,"MEDI538","code name"
"860",74,"MT103","code name"
"861",74,"Blincyto","brand name"
"862",75,"Bortezomib","preferred name"
"863",75,"LDP 341","code name"
"864",75,"MLN341","code name"
"865",75,"PS-341","code name"
"866",75,"Biocure","brand name"
"867",75,"Borater","brand name"
"868",75,"Bortecad","brand name"
"869",75,"Bortemib","brand name"
"870",75,"Bortenat","brand name"
"871",75,"Bortetrust","brand name"
"872",75,"Bortrac","brand name"
"873",75,"Borvex","brand name"
"874",75,"Borviz","brand name"
"875",75,"Botepar","brand name"
"876",75,"Bromadene","brand name"
"877",75,"Egybort","brand name"
"878",75,"Mibor","brand name"
"879",75,"Myezom","brand name"
"880",75,"Norvelzo","brand name"
"881",75,"Ortez","brand name"
"882",75,"Velcade","brand name"
"883",75,"Zomib","brand name"
"884",75,"Zuricade","brand name"
"885",76,"Bosutinib","preferred name"
"886",76,"SKI-606","code name"
"887",76,"Bosulif","brand name"
"888",77,"Brentuximab vedotin","preferred name"
"889",77,"cAC10-vcMMAE","code name"
"890",77,"SGN-35","code name"
"891",77,"Adcetris","brand name"
"892",78,"Brigatinib","preferred name"
"893",78,"AP26113","code name"
"894",78,"Alunbrig","brand name"
"895",78,"Biganib","brand name"
"896",78,"Briganix","brand name"
"897",78,"Trepmac","brand name"
"898",79,"Buparlisib","preferred name"
"899",79,"BKM120","code name"
"900",80,"Busulfan","preferred name"
"901",80,"Busilvex","brand name"
"902",80,"Busulfex","brand name"
"903",80,"Myleran","brand name"
"904",81,"Cabazitaxel","preferred name"
"905",81,"RPR116258A","code name"
"906",81,"TXD258","code name"
"907",81,"XRP6258","code name"
"908",81,"Cabapan","brand name"
"909",81,"Cabaxan","brand name"
"910",81,"Cabazither","brand name"
"911",81,"Cabtana","brand name"
"912",81,"Cazat","brand name"
"913",81,"Jevatax","brand name"
"914",81,"Jevtana","brand name"
"915",81,"Kabanat","brand name"
"916",81,"Procabazi","brand name"
"917",81,"Qtervaxia","brand name"
"918",81,"Z-Texel","brand name"
"919",82,"Cabozantinib","preferred name"
"920",82,"XL-184","code name"
"921",82,"XL184","code name"
"922",82,"Cabometyx","brand name"
"923",82,"Caboxen","brand name"
"924",82,"Cabozanib","brand name"
"925",82,"Cabozanix","brand name"
"926",82,"Cometriq","brand name"
"927",82,"Lucicaboz","brand name"
"928",83,"Calaspargase","preferred name"
"929",83,"calaspargase pegol-mknl","generic name"
"930",83,"Asparlas","brand name"
"937",86,"Capecitabine","preferred name"
"938",86,"capecitabine RDT","generic name"
"939",86,"kapesitabin","generic name"
"940",86,"Ro 09-1978/000","code name"
"941",86,"Cabita","brand name"
"942",86,"Capebin","brand name"
"943",86,"Capegard","brand name"
"944",86,"Capnat","brand name"
"945",86,"Caposib","brand name"
"946",86,"Capsy","brand name"
"947",86,"Caxeta","brand name"
"948",86,"Citabin","brand name"
"949",86,"Ecansya","brand name"
"950",86,"Flagoda","brand name"
"951",86,"Naprocap","brand name"
"952",86,"Skemca","brand name"
"953",86,"Xeloda","brand name"
"954",86,"Xlotabin","brand name"
"959",88,"Carboplatin","preferred name"
"960",88,"JM8","code name"
"961",88,"Biocarb","brand name"
"962",88,"Biocarbo","brand name"
"963",88,"Bioplatinex","brand name"
"964",88,"Biovinate","brand name"
"965",88,"Blastocarb","brand name"
"966",88,"Bonaplatin","brand name"
"967",88,"Boplatex","brand name"
"968",88,"Carbo","brand name"
"969",88,"Carbokem","brand name"
"970",88,"Carbomedac","brand name"
"971",88,"Carbomerck","brand name"
"972",88,"Carboplat","brand name"
"973",88,"Carboplatine","brand name"
"974",88,"Carboplatino","brand name"
"975",88,"Carboplatinum","brand name"
"976",88,"Carbosin","brand name"
"977",88,"Carbotanil","brand name"
"978",88,"Carbotec","brand name"
"979",88,"Carbotinol","brand name"
"980",88,"Careptin","brand name"
"981",88,"Carplan","brand name"
"982",88,"Carplanil","brand name"
"983",88,"Carpsol","brand name"
"984",88,"CBDCA","brand name"
"985",88,"Crobextin","brand name"
"986",88,"Cycloplatin","brand name"
"987",88,"Cycloplatinum","brand name"
"988",88,"Emorzim","brand name"
"989",88,"Erbakar","brand name"
"990",88,"Ercar","brand name"
"991",88,"Fauldcarbo","brand name"
"992",88,"Ifacap","brand name"
"993",88,"Kemocarb","brand name"
"994",88,"Megaplatin","brand name"
"995",88,"Nealorin","brand name"
"996",88,"Neocarb","brand name"
"997",88,"Neocarbo","brand name"
"998",88,"Oncocarb","brand name"
"999",88,"Paraplatin","brand name"
"1000",88,"Paraplatine","brand name"
"1001",88,"Pharmaplatin","brand name"
"1002",88,"Platamine CS","brand name"
"1003",88,"Platinwas","brand name"
"1004",88,"Ribocarbo","brand name"
"1005",88,"Tecnocarb","brand name"
"1006",88,"Vancel","brand name"
"1007",89,"Carfilzomib","preferred name"
"1008",89,"CFZ","generic name"
"1009",89,"PR-171","code name"
"1010",89,"Carfilnat","brand name"
"1011",89,"Kyprolis","brand name"
"1012",90,"Carmustine","preferred name"
"1013",90,"BCNU","generic name"
"1014",90,"bischloroethylnitrosourea","generic name"
"1015",90,"carmustin","generic name"
"1016",90,"Becenun","brand name"
"1017",90,"BiCNU","brand name"
"1018",90,"Carmubris","brand name"
"1019",90,"Leucerom","brand name"
"1020",90,"Nitrourean","brand name"
"1021",90,"Nitrumon","brand name"
"1022",91,"Carmustine wafer polifeprosan 20","preferred name"
"1023",91,"polifeprosan 20 with carmustine implant","generic name"
"1024",91,"NPC-08","code name"
"1025",91,"NSC-409962","code name"
"1026",91,"WR-139021","code name"
"1027",91,"Biodel","brand name"
"1028",91,"Gliadel wafer","brand name"
"1043",94,"Cediranib","preferred name"
"1044",94,"AZD2171","code name"
"1045",94,"Recentin","brand name"
"1046",95,"Cemiplimab","preferred name"
"1047",95,"cemiplimab-rwlc","generic name"
"1048",95,"REGN2810","code name"
"1049",95,"Libtayo","brand name"
"1050",96,"Ceritinib","preferred name"
"1051",96,"LDK378","code name"
"1052",96,"Lucicer","brand name"
"1053",96,"Noxalk","brand name"
"1054",96,"Spexib","brand name"
"1055",96,"Zykadia","brand name"
"1063",98,"Cetuximab","preferred name"
"1064",98,"C225","code name"
"1065",98,"Cetuxim","brand name"
"1066",98,"Erbitux","brand name"
"1067",99,"Chidamide","preferred name"
"1068",99,"tucidinostat","generic name"
"1069",99,"CS055","code name"
"1070",99,"HBI-8000","code name"
"1071",99,"Epidaza","brand name"
"1072",100,"Chlorambucil","preferred name"
"1073",100,"Chlorambusil","brand name"
"1074",100,"Chloraminophene","brand name"
"1075",100,"Chlorbutin","brand name"
"1076",100,"Chlorobutin","brand name"
"1077",100,"Leukeran","brand name"
"1078",100,"Linfoxan","brand name"
"1089",105,"Cisplatin","preferred name"
"1090",105,"CDDP","generic name"
"1091",105,"cis-diamminedichloroplatinum III","generic name"
"1092",105,"cis-platinum","generic name"
"1093",105,"cisplatinum","generic name"
"1094",105,"DACP","generic name"
"1095",105,"DDP","generic name"
"1096",105,"NSC 119875","code name"
"1097",105,"Abiplatin","brand name"
"1098",105,"Axiplat","brand name"
"1099",105,"Biocisplatinum","brand name"
"1100",105,"Bioplatino","brand name"
"1101",105,"Blastolem","brand name"
"1102",105,"Briplatin","brand name"
"1103",105,"Brisplatin","brand name"
"1104",105,"C-Platin","brand name"
"1105",105,"Ceplatin","brand name"
"1106",105,"Ciplatan","brand name"
"1107",105,"Ciplexal","brand name"
"1108",105,"Cis-GRY","brand name"
"1109",105,"Cismaplat","brand name"
"1110",105,"Cispatin","brand name"
"1111",105,"Cisplamerck","brand name"
"1112",105,"Cisplan","brand name"
"1113",105,"Cisplasol","brand name"
"1114",105,"Cisplatex","brand name"
"1115",105,"Cisplatine","brand name"
"1116",105,"Cisplatino","brand name"
"1117",105,"Cisplatyl","brand name"
"1118",105,"Cisteen","brand name"
"1119",105,"Citoplatino","brand name"
"1120",105,"Citosin","brand name"
"1121",105,"Cysplatyna","brand name"
"1122",105,"Cytoplatin","brand name"
"1123",105,"Docistin","brand name"
"1124",105,"Elvecis","brand name"
"1125",105,"Fauldcispla","brand name"
"1126",105,"Ifapla","brand name"
"1127",105,"Kemoplat","brand name"
"1128",105,"Lederplatin","brand name"
"1129",105,"Metaplatin","brand name"
"1130",105,"Neoplat","brand name"
"1131",105,"Neoplatin","brand name"
"1132",105,"Noveldexis","brand name"
"1133",105,"Oncoplatin AQ","brand name"
"1134",105,"Peyrone's Chloride","brand name"
"1135",105,"Peyrone's Salt","brand name"
"1136",105,"Placis","brand name"
"1137",105,"Plastistil","brand name"
"1138",105,"Platamin","brand name"
"1139",105,"Platamine","brand name"
"1140",105,"Platiblastin","brand name"
"1141",105,"Platicis","brand name"
"1142",105,"Platidiam","brand name"
"1143",105,"Platikem","brand name"
"1144",105,"Platil","brand name"
"1145",105,"Platimit","brand name"
"1146",105,"Platin","brand name"
"1147",105,"Platinex","brand name"
"1148",105,"Platinil","brand name"
"1149",105,"Platino II Filaxis","brand name"
"1150",105,"Platinol","brand name"
"1151",105,"Platinox","brand name"
"1152",105,"Platinoxan","brand name"
"1153",105,"Platiran","brand name"
"1154",105,"Platistil","brand name"
"1155",105,"Platistin","brand name"
"1156",105,"Platistine","brand name"
"1157",105,"Platosin","brand name"
"1158",105,"Randa","brand name"
"1159",105,"Romcis","brand name"
"1160",105,"Sicatem","brand name"
"1161",105,"Sinplatin","brand name"
"1162",105,"Sisplanil","brand name"
"1163",105,"Tecnoplatin","brand name"
"1164",105,"Tisplal","brand name"
"1165",105,"Unistin","brand name"
"1168",107,"Cladribine","preferred name"
"1169",107,"2-CdA","generic name"
"1170",107,"2-chlorodeoxyadenosine","generic name"
"1171",107,"Leustatin","brand name"
"1172",107,"Litak","brand name"
"1173",107,"Movectro","brand name"
"1174",108,"Clarithromycin","preferred name"
"1175",108,"Biaxin","brand name"
"1205",111,"Clofarabine","preferred name"
"1206",111,"klofarabin","generic name"
"1207",111,"Clolar","brand name"
"1208",111,"Evoltra","brand name"
"1209",111,"Evorabin","brand name"
"1210",111,"Ivozall","brand name"
"1224",113,"Cobimetinib","preferred name"
"1225",113,"GDC-0973","code name"
"1226",113,"XL518","code name"
"1227",113,"Cotellic","brand name"
"1231",115,"Copanlisib","preferred name"
"1232",115,"BAY 80-6946","code name"
"1233",115,"Aliqopa","brand name"
"1234",116,"Cortisone","preferred name"
"1241",119,"Crizotinib","preferred name"
"1242",119,"PF-02341066","code name"
"1243",119,"PF02341066","code name"
"1244",119,"Crizalk","brand name"
"1245",119,"Crizocap","brand name"
"1246",119,"Crizonix","brand name"
"1247",119,"Xalkori","brand name"
"1260",122,"Cyclophosphamide","preferred name"
"1261",122,"CP monohydrate","generic name"
"1262",122,"CPM","generic name"
"1263",122,"cyclophosphamid monohydrate","generic name"
"1264",122,"cyclophosphamide monohydrate","generic name"
"1265",122,"Asta B 518","code name"
"1266",122,"B-518","code name"
"1267",122,"WR-138719","code name"
"1268",122,"Alkyloxan","brand name"
"1269",122,"Biodoxan","brand name"
"1270",122,"Carloxan","brand name"
"1271",122,"Ciclofosfamida","brand name"
"1272",122,"Ciclokebir","brand name"
"1273",122,"Cicloxal","brand name"
"1274",122,"Clafen","brand name"
"1275",122,"Claphene","brand name"
"1276",122,"Cyclam","brand name"
"1277",122,"CYCLO-cell","brand name"
"1278",122,"Cycloblastin","brand name"
"1279",122,"Cycloblastine","brand name"
"1280",122,"Cycloferon","brand name"
"1281",122,"Cyclomide","brand name"
"1282",122,"Cyclophar","brand name"
"1283",122,"Cyclophospham","brand name"
"1284",122,"Cyclophosphamid","brand name"
"1285",122,"Cyclophosphane","brand name"
"1286",122,"Cyclostin","brand name"
"1287",122,"Cyclostine","brand name"
"1288",122,"Cyclotox","brand name"
"1289",122,"Cycloxan","brand name"
"1290",122,"Cycram","brand name"
"1291",122,"Cydoxan","brand name"
"1292",122,"Cyklofosfamid","brand name"
"1293",122,"Cyphos","brand name"
"1294",122,"Cytophosphan","brand name"
"1295",122,"Cytoxan","brand name"
"1296",122,"Cytoxan Lyophilized","brand name"
"1297",122,"Endoxan","brand name"
"1298",122,"Endoxan-N","brand name"
"1299",122,"Endoxana","brand name"
"1300",122,"Enduxan","brand name"
"1301",122,"Formitex","brand name"
"1302",122,"Fosfaseron","brand name"
"1303",122,"Genoxal","brand name"
"1304",122,"Genuxal","brand name"
"1305",122,"Hidrofosmin","brand name"
"1306",122,"Ledoxan","brand name"
"1307",122,"Ledoxina","brand name"
"1308",122,"Mitoxan","brand name"
"1309",122,"Neophos","brand name"
"1310",122,"Neosar","brand name"
"1311",122,"Oncomide","brand name"
"1312",122,"Oncophos","brand name"
"1313",122,"Procytox","brand name"
"1314",122,"Revimmune","brand name"
"1315",122,"Sendoxan","brand name"
"1316",122,"Siklofos","brand name"
"1317",122,"Syklofosfamid","brand name"
"1318",122,"Tymtran","brand name"
"1319",122,"Zuviphos","brand name"
"1320",122,"Zycram","brand name"
"1321",122,"Zytoxan","brand name"
"1324",125,"Cyproterone acetate","preferred name"
"1325",125,"Androcur","brand name"
"1326",126,"Cytarabine","preferred name"
"1327",126,"Ara-C","generic name"
"1328",126,"arabinofuranosyl cytidine","generic name"
"1329",126,"arabinosylcytosine","generic name"
"1330",126,"cytosine arabinoside","generic name"
"1331",126,"Alcysten","brand name"
"1332",126,"Alexan","brand name"
"1333",126,"ARA","brand name"
"1334",126,"Arabine","brand name"
"1335",126,"Arabitin","brand name"
"1336",126,"Aracitin","brand name"
"1337",126,"Aracytin","brand name"
"1338",126,"Aracytine","brand name"
"1339",126,"Citagenin","brand name"
"1340",126,"Citaloxan","brand name"
"1341",126,"Citarabin","brand name"
"1342",126,"Citarabina","brand name"
"1343",126,"Citarabins","brand name"
"1344",126,"Citarax","brand name"
"1345",126,"Cylocide","brand name"
"1346",126,"Cytarabin","brand name"
"1347",126,"Cytarabins","brand name"
"1348",126,"Cytarabinum","brand name"
"1349",126,"Cytarbel","brand name"
"1350",126,"Cytarine","brand name"
"1351",126,"Cytosar","brand name"
"1352",126,"Cytosar-U","brand name"
"1353",126,"Cytrosar","brand name"
"1354",126,"Depocyt","brand name"
"1355",126,"Depocyte","brand name"
"1356",126,"Erbabin","brand name"
"1357",126,"Erpalfa","brand name"
"1358",126,"Fauldcita","brand name"
"1359",126,"Groven","brand name"
"1360",126,"Ifarab","brand name"
"1361",126,"Iretin","brand name"
"1362",126,"Laracit","brand name"
"1363",126,"Medsara","brand name"
"1364",126,"Novutrax","brand name"
"1365",126,"Remcyta","brand name"
"1366",126,"Starasid","brand name"
"1367",126,"Tabin","brand name"
"1368",126,"Tabine","brand name"
"1369",126,"Udicil","brand name"
"1370",127,"Cytarabine and daunorubicin liposomal","preferred name"
"1371",127,"CPX-351","code name"
"1372",127,"Vyxeos","brand name"
"1373",127,"Vyxeos liposomal","brand name"
"1384",131,"Dabrafenib","preferred name"
"1385",131,"dabrafenib mesylate","generic name"
"1386",131,"GSK-2118436A","code name"
"1387",131,"GSK2118436","code name"
"1388",131,"Rafinlar","brand name"
"1389",131,"Tafinlar","brand name"
"1390",132,"Dacarbazine","preferred name"
"1391",132,"dacarbazin","generic name"
"1392",132,"DTIC","generic name"
"1393",132,"imidazole carboxamide","generic name"
"1394",132,"Bazipar","brand name"
"1395",132,"Cedcozine","brand name"
"1396",132,"Dacarba","brand name"
"1397",132,"Dacarex","brand name"
"1398",132,"Dacin","brand name"
"1399",132,"Dacmed","brand name"
"1400",132,"Darbazine","brand name"
"1401",132,"Dazine","brand name"
"1402",132,"Decarb","brand name"
"1403",132,"Oncodac","brand name"
"1404",132,"Zydac","brand name"
"1405",133,"Dacomitinib","preferred name"
"1406",133,"PF-00299804","code name"
"1407",133,"Vizimpro","brand name"
"1408",134,"Dactinomycin","preferred name"
"1409",134,"AC-DE","generic name"
"1410",134,"actinomycin D","generic name"
"1411",134,"Cosmegen","brand name"
"1412",134,"Dacmozen","brand name"
"1413",134,"Lyovac","brand name"
"1429",137,"Danazol","preferred name"
"1430",137,"Danatrol","brand name"
"1431",137,"Danocrine","brand name"
"1432",137,"Danodiol","brand name"
"1433",137,"Danogen","brand name"
"1434",137,"Drane","brand name"
"1435",137,"Ladogal","brand name"
"1436",137,"Novaprin","brand name"
"1439",139,"Daratumumab","preferred name"
"1440",139,"daratumumab-fihj","generic name"
"1441",139,"JNJ-54767414","code name"
"1442",139,"Darzalex","brand name"
"1443",139,"HuMax-CD38","brand name"
"1455",141,"Darolutamide","preferred name"
"1456",141,"BAY-1841788","code name"
"1457",141,"ODM-201","code name"
"1458",141,"Nubeqa","brand name"
"1459",142,"Dasatinib","preferred name"
"1460",142,"BMS-354825","code name"
"1461",142,"Sprycel","brand name"
"1462",143,"Daunorubicin","preferred name"
"1463",143,"daunomycin","generic name"
"1464",143,"Cerubidin","brand name"
"1465",143,"Cerubidine","brand name"
"1466",143,"D-Blastin","brand name"
"1467",143,"Daunoblastin","brand name"
"1468",143,"Daunoblastina","brand name"
"1469",143,"Daunocin","brand name"
"1470",143,"Daunomicina","brand name"
"1471",143,"Daunorubicine","brand name"
"1472",143,"Daurocina","brand name"
"1473",143,"Maxidauno","brand name"
"1474",143,"Ondena","brand name"
"1475",143,"Rubidomycin","brand name"
"1476",143,"Rubilem","brand name"
"1477",143,"Rubomycin","brand name"
"1478",143,"Runabicon","brand name"
"1479",144,"Daunorubicin liposomal","preferred name"
"1480",144,"daunorubicin citrate liposome injection","generic name"
"1481",144,"DaunoXome","brand name"
"1482",145,"Decitabine","preferred name"
"1483",145,"5-aza-2'-deoxycytidine","generic name"
"1484",145,"Dacogen","brand name"
"1485",145,"Decima","brand name"
"1486",145,"Decita","brand name"
"1487",145,"Decitafect","brand name"
"1488",145,"Decitas","brand name"
"1489",145,"Decitex","brand name"
"1490",145,"Natdecita","brand name"
"1506",151,"Degarelix","preferred name"
"1507",151,"degarelix acetate","generic name"
"1508",151,"ASP3550","code name"
