drug_name,drug_type,associated with side effects_Neutral,associated with side effects_No,associated with side effects_Yes,associated with side effects_question,effective_Neutral,effective_No,effective_Yes,effective_question,likely to make me sick_Neutral,likely to make me sick_No,likely to make me sick_Yes,likely to make me sick_question,safe_Neutral,safe_No,safe_Yes,safe_question,inferred_effective,inferred_safe,inferred_associated with side effects,inferred_likely to make me sick
Abraxane,brand,1,3,2,"Is Abraxane associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",1,2,3,"Is Abraxane effective?
Options: 1: Neutral, 2: No, 3: Yes",3,2,1,"Is Abraxane likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",1,3,2,"Is Abraxane safe?
Options: 1: Neutral, 2: Yes, 3: No",3,2,2,2
Absorica,brand,3,1,2,"Is Absorica associated with side effects?
Options: 1: No, 2: Yes, 3: Neutral",2,1,3,"Is Absorica effective?
Options: 1: No, 2: Neutral, 3: Yes",1,3,2,"Is Absorica likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",1,2,3,"Is Absorica safe?
Options: 1: Neutral, 2: No, 3: Yes",3,3,2,3
Acalabrutinib,preferred,3,2,1,"Is Acalabrutinib associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",2,3,1,"Is Acalabrutinib effective?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Acalabrutinib likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",2,3,1,"Is Acalabrutinib safe?
Options: 1: Yes, 2: Neutral, 3: No",1,2,1,2
Acapodene,brand,2,1,3,"Is Acapodene associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",1,2,3,"Is Acapodene effective?
Options: 1: Neutral, 2: No, 3: Yes",3,2,1,"Is Acapodene likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",1,2,3,"Is Acapodene safe?
Options: 1: Neutral, 2: No, 3: Yes",3,3,3,2
Accusite,brand,2,1,3,"Is Accusite associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",1,2,3,"Is Accusite effective?
Options: 1: Neutral, 2: No, 3: Yes",1,2,3,"Is Accusite likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",2,3,1,"Is Accusite safe?
Options: 1: Yes, 2: Neutral, 3: No",3,2,3,2
Aclacin,brand,2,1,3,"Is Aclacin associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",1,2,3,"Is Aclacin effective?
Options: 1: Neutral, 2: No, 3: Yes",3,2,1,"Is Aclacin likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",3,1,2,"Is Aclacin safe?
Options: 1: No, 2: Yes, 3: Neutral",3,2,3,2
Aclarubicin,preferred,1,2,3,"Is Aclarubicin associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",1,3,2,"Is Aclarubicin effective?
Options: 1: Neutral, 2: Yes, 3: No",2,1,3,"Is Aclarubicin likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",2,1,3,"Is Aclarubicin safe?
Options: 1: No, 2: Neutral, 3: Yes",2,3,3,3
Actimid,brand,1,3,2,"Is Actimid associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",1,2,3,"Is Actimid effective?
Options: 1: Neutral, 2: No, 3: Yes",1,2,3,"Is Actimid likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",2,3,1,"Is Actimid safe?
Options: 1: Yes, 2: Neutral, 3: No",3,2,2,2
Actimmune,brand,1,3,2,"Is Actimmune associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",3,1,2,"Is Actimmune effective?
Options: 1: No, 2: Yes, 3: Neutral",1,3,2,"Is Actimmune likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Actimmune safe?
Options: 1: Yes, 2: No, 3: Neutral",2,3,2,3
Adagrasib,preferred,2,3,1,"Is Adagrasib associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",3,1,2,"Is Adagrasib effective?
Options: 1: No, 2: Yes, 3: Neutral",2,1,3,"Is Adagrasib likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",1,2,3,"Is Adagrasib safe?
Options: 1: Neutral, 2: No, 3: Yes",2,2,1,2
Adcetris,brand,1,3,2,"Is Adcetris associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Adcetris effective?
Options: 1: Yes, 2: No, 3: Neutral",1,2,3,"Is Adcetris likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",2,3,1,"Is Adcetris safe?
Options: 1: Yes, 2: Neutral, 3: No",1,2,2,3
Adlinod,brand,1,2,3,"Is Adlinod associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",2,1,3,"Is Adlinod effective?
Options: 1: No, 2: Neutral, 3: Yes",3,1,2,"Is Adlinod likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",3,1,2,"Is Adlinod safe?
Options: 1: No, 2: Yes, 3: Neutral",2,2,3,3
Adlone,brand,2,3,1,"Is Adlone associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Adlone effective?
Options: 1: Neutral, 2: Yes, 3: No",2,3,1,"Is Adlone likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",2,1,3,"Is Adlone safe?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,3
Adnisolone,brand,2,1,3,"Is Adnisolone associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Adnisolone effective?
Options: 1: Yes, 2: Neutral, 3: No",1,2,3,"Is Adnisolone likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",1,3,2,"Is Adnisolone safe?
Options: 1: Neutral, 2: Yes, 3: No",2,2,3,2
Adriablastina,brand,2,3,1,"Is Adriablastina associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Adriablastina effective?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,"Is Adriablastina likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",2,1,3,"Is Adriablastina safe?
Options: 1: No, 2: Neutral, 3: Yes",3,3,1,2
Adstiladrin,brand,2,3,1,"Is Adstiladrin associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",3,1,2,"Is Adstiladrin effective?
Options: 1: No, 2: Yes, 3: Neutral",1,2,3,"Is Adstiladrin likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",3,2,1,"Is Adstiladrin safe?
Options: 1: Yes, 2: No, 3: Neutral",3,3,1,2
Advacan,brand,2,3,1,"Is Advacan associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",1,2,3,"Is Advacan effective?
Options: 1: Neutral, 2: No, 3: Yes",2,1,3,"Is Advacan likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",3,1,2,"Is Advacan safe?
Options: 1: No, 2: Yes, 3: Neutral",3,2,1,2
Advaferon,brand,2,1,3,"Is Advaferon associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",1,2,3,"Is Advaferon effective?
Options: 1: Neutral, 2: No, 3: Yes",3,1,2,"Is Advaferon likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",2,1,3,"Is Advaferon safe?
Options: 1: No, 2: Neutral, 3: Yes",3,3,3,3
Afanix,brand,2,3,1,"Is Afanix associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Afanix effective?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,"Is Afanix likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",1,2,3,"Is Afanix safe?
Options: 1: Neutral, 2: No, 3: Yes",3,3,1,2
Afatinib,preferred,2,1,3,"Is Afatinib associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",3,2,1,"Is Afatinib effective?
Options: 1: Yes, 2: No, 3: Neutral",3,2,1,"Is Afatinib likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,"Is Afatinib safe?
Options: 1: No, 2: Neutral, 3: Yes",1,3,3,1
AiRuiKa,brand,3,2,1,"Is AiRuiKa associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",2,3,1,"Is AiRuiKa effective?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is AiRuiKa likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",1,3,2,"Is AiRuiKa safe?
Options: 1: Neutral, 2: Yes, 3: No",2,2,2,2
Aitan,brand,2,3,1,"Is Aitan associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Aitan effective?
Options: 1: Yes, 2: No, 3: Neutral",3,2,1,"Is Aitan likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",1,3,2,"Is Aitan safe?
Options: 1: Neutral, 2: Yes, 3: No",3,2,3,2
Alcrist,brand,3,2,1,"Is Alcrist associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",3,1,2,"Is Alcrist effective?
Options: 1: No, 2: Yes, 3: Neutral",3,2,1,"Is Alcrist likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",3,2,1,"Is Alcrist safe?
Options: 1: Yes, 2: No, 3: Neutral",2,2,1,2
Alcysten,brand,2,3,1,"Is Alcysten associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Alcysten effective?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Alcysten likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",2,3,1,"Is Alcysten safe?
Options: 1: Yes, 2: Neutral, 3: No",2,2,1,2
Aldesleukin,preferred,2,3,1,"Is Aldesleukin associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",2,3,1,"Is Aldesleukin effective?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Aldesleukin likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",1,3,2,"Is Aldesleukin safe?
Options: 1: Neutral, 2: Yes, 3: No",1,2,1,2
Alecensa,brand,3,1,2,"Is Alecensa associated with side effects?
Options: 1: No, 2: Yes, 3: Neutral",3,1,2,"Is Alecensa effective?
Options: 1: No, 2: Yes, 3: Neutral",3,1,2,"Is Alecensa likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",2,1,3,"Is Alecensa safe?
Options: 1: No, 2: Neutral, 3: Yes",2,3,2,2
Alectinib,preferred,2,1,3,"Is Alectinib associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",3,1,2,"Is Alectinib effective?
Options: 1: No, 2: Yes, 3: Neutral",3,1,2,"Is Alectinib likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",3,2,1,"Is Alectinib safe?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,2
Alemtuzumab,preferred,2,3,1,"Is Alemtuzumab associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Alemtuzumab effective?
Options: 1: Yes, 2: No, 3: Neutral",1,3,2,"Is Alemtuzumab likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",1,2,3,"Is Alemtuzumab safe?
Options: 1: Neutral, 2: No, 3: Yes",1,3,1,2
Alimta,brand,1,3,2,"Is Alimta associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",1,2,3,"Is Alimta effective?
Options: 1: Neutral, 2: No, 3: Yes",3,2,1,"Is Alimta likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,"Is Alimta safe?
Options: 1: No, 2: Neutral, 3: Yes",3,3,2,1
Aliqopa,brand,3,2,1,"Is Aliqopa associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",1,2,3,"Is Aliqopa effective?
Options: 1: Neutral, 2: No, 3: Yes",3,2,1,"Is Aliqopa likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",3,2,1,"Is Aliqopa safe?
Options: 1: Yes, 2: No, 3: Neutral",3,3,1,2
Alitretinoin,preferred,3,2,1,"Is Alitretinoin associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",3,1,2,"Is Alitretinoin effective?
Options: 1: No, 2: Yes, 3: Neutral",2,1,3,"Is Alitretinoin likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Alitretinoin safe?
Options: 1: Yes, 2: Neutral, 3: No",2,3,1,2
Alkaban-AQ,brand,1,3,2,"Is Alkaban-AQ associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",1,3,2,"Is Alkaban-AQ effective?
Options: 1: Neutral, 2: Yes, 3: No",2,1,3,"Is Alkaban-AQ likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",1,2,3,"Is Alkaban-AQ safe?
Options: 1: Neutral, 2: No, 3: Yes",2,3,2,2
Alkeran,brand,2,1,3,"Is Alkeran associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Alkeran effective?
Options: 1: Yes, 2: Neutral, 3: No",1,2,3,"Is Alkeran likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",1,2,3,"Is Alkeran safe?
Options: 1: Neutral, 2: No, 3: Yes",1,2,3,3
Alkyloxan,brand,1,3,2,"Is Alkyloxan associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",1,3,2,"Is Alkyloxan effective?
Options: 1: Neutral, 2: Yes, 3: No",2,3,1,"Is Alkyloxan likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",2,1,3,"Is Alkyloxan safe?
Options: 1: No, 2: Neutral, 3: Yes",2,3,2,3
All-trans retinoic acid,preferred,2,3,1,"Is All-trans retinoic acid associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",2,3,1,"Is All-trans retinoic acid effective?
Options: 1: Yes, 2: Neutral, 3: No",1,2,3,"Is All-trans retinoic acid likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",2,1,3,"Is All-trans retinoic acid safe?
Options: 1: No, 2: Neutral, 3: Yes",1,3,1,2
Alpelisib,preferred,3,2,1,"Is Alpelisib associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",2,3,1,"Is Alpelisib effective?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Alpelisib likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Alpelisib safe?
Options: 1: Yes, 2: No, 3: Neutral",1,3,1,2
Alquimid,brand,2,1,3,"Is Alquimid associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Alquimid effective?
Options: 1: Yes, 2: Neutral, 3: No",3,1,2,"Is Alquimid likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",2,3,1,"Is Alquimid safe?
Options: 1: Yes, 2: Neutral, 3: No",2,2,3,3
Alrubicin,brand,2,3,1,"Is Alrubicin associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",1,2,3,"Is Alrubicin effective?
Options: 1: Neutral, 2: No, 3: Yes",3,1,2,"Is Alrubicin likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",2,3,1,"Is Alrubicin safe?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,2
Altraz,brand,1,2,3,"Is Altraz associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",1,2,3,"Is Altraz effective?
Options: 1: Neutral, 2: No, 3: Yes",3,1,2,"Is Altraz likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",2,1,3,"Is Altraz safe?
Options: 1: No, 2: Neutral, 3: Yes",3,3,3,2
Altretamine,preferred,3,2,1,"Is Altretamine associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,"Is Altretamine effective?
Options: 1: No, 2: Neutral, 3: Yes",2,1,3,"Is Altretamine likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",3,2,1,"Is Altretamine safe?
Options: 1: Yes, 2: No, 3: Neutral",3,3,1,2
Altuzan,brand,2,1,3,"Is Altuzan associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",1,2,3,"Is Altuzan effective?
Options: 1: Neutral, 2: No, 3: Yes",3,2,1,"Is Altuzan likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",2,3,1,"Is Altuzan safe?
Options: 1: Yes, 2: Neutral, 3: No",3,1,3,2
Alunbrig,brand,1,3,2,"Is Alunbrig associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Alunbrig effective?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,"Is Alunbrig likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",3,2,1,"Is Alunbrig safe?
Options: 1: Yes, 2: No, 3: Neutral",1,1,2,2
Amekrin,brand,3,2,1,"Is Amekrin associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",3,2,1,"Is Amekrin effective?
Options: 1: Yes, 2: No, 3: Neutral",1,3,2,"Is Amekrin likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",2,1,3,"Is Amekrin safe?
Options: 1: No, 2: Neutral, 3: Yes",3,3,1,3
Amelie,brand,1,3,2,"Is Amelie associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Amelie effective?
Options: 1: Yes, 2: No, 3: Neutral",3,2,1,"Is Amelie likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",3,2,1,"Is Amelie safe?
Options: 1: Yes, 2: No, 3: Neutral",3,3,2,2
Aminoblastin,brand,1,3,2,"Is Aminoblastin associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",2,1,3,"Is Aminoblastin effective?
Options: 1: No, 2: Neutral, 3: Yes",3,1,2,"Is Aminoblastin likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",1,3,2,"Is Aminoblastin safe?
Options: 1: Neutral, 2: Yes, 3: No",3,2,2,3
Aminoglutethimide,preferred,1,3,2,"Is Aminoglutethimide associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",2,1,3,"Is Aminoglutethimide effective?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Aminoglutethimide likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",1,2,3,"Is Aminoglutethimide safe?
Options: 1: Neutral, 2: No, 3: Yes",3,2,2,3
Amivantamab,preferred,3,2,1,"Is Amivantamab associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",2,3,1,"Is Amivantamab effective?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Amivantamab likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",3,1,2,"Is Amivantamab safe?
Options: 1: No, 2: Yes, 3: Neutral",1,2,1,2
Amixam,brand,2,3,1,"Is Amixam associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Amixam effective?
Options: 1: Neutral, 2: Yes, 3: No",2,1,3,"Is Amixam likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Amixam safe?
Options: 1: Yes, 2: Neutral, 3: No",2,2,1,2
Ammoidin,brand,3,1,2,"Is Ammoidin associated with side effects?
Options: 1: No, 2: Yes, 3: Neutral",3,2,1,"Is Ammoidin effective?
Options: 1: Yes, 2: No, 3: Neutral",1,2,3,"Is Ammoidin likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",2,1,3,"Is Ammoidin safe?
Options: 1: No, 2: Neutral, 3: Yes",3,3,2,2
Amnoid,brand,2,3,1,"Is Amnoid associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Amnoid effective?
Options: 1: Yes, 2: No, 3: Neutral",1,2,3,"Is Amnoid likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",3,2,1,"Is Amnoid safe?
Options: 1: Yes, 2: No, 3: Neutral",2,2,1,2
Amonafide,preferred,3,2,1,"Is Amonafide associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,"Is Amonafide effective?
Options: 1: No, 2: Neutral, 3: Yes",1,3,2,"Is Amonafide likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",3,1,2,"Is Amonafide safe?
Options: 1: No, 2: Yes, 3: Neutral",3,2,1,2
Amoxi,brand,1,3,2,"Is Amoxi associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",2,1,3,"Is Amoxi effective?
Options: 1: No, 2: Neutral, 3: Yes",1,3,2,"Is Amoxi likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Amoxi safe?
Options: 1: Yes, 2: No, 3: Neutral",3,1,2,3
Amoxicillin,preferred,1,2,3,"Is Amoxicillin associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",3,1,2,"Is Amoxicillin effective?
Options: 1: No, 2: Yes, 3: Neutral",2,3,1,"Is Amoxicillin likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Amoxicillin safe?
Options: 1: Neutral, 2: Yes, 3: No",2,2,3,3
Amrubicin,preferred,3,1,2,"Is Amrubicin associated with side effects?
Options: 1: No, 2: Yes, 3: Neutral",1,3,2,"Is Amrubicin effective?
Options: 1: Neutral, 2: Yes, 3: No",1,2,3,"Is Amrubicin likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",1,2,3,"Is Amrubicin safe?
Options: 1: Neutral, 2: No, 3: Yes",2,3,2,2
Amsacrine,preferred,2,1,3,"Is Amsacrine associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",1,3,2,"Is Amsacrine effective?
Options: 1: Neutral, 2: Yes, 3: No",1,3,2,"Is Amsacrine likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",2,3,1,"Is Amsacrine safe?
Options: 1: Yes, 2: Neutral, 3: No",2,3,3,2
Anandron,brand,3,2,1,"Is Anandron associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",2,3,1,"Is Anandron effective?
Options: 1: Yes, 2: Neutral, 3: No",2,1,3,"Is Anandron likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",1,2,3,"Is Anandron safe?
Options: 1: Neutral, 2: No, 3: Yes",1,2,1,2
Anastrozole,preferred,2,3,1,"Is Anastrozole associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Anastrozole effective?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Anastrozole likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",1,2,3,"Is Anastrozole safe?
Options: 1: Neutral, 2: No, 3: Yes",2,3,1,2
Androcur,brand,1,2,3,"Is Androcur associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",1,2,3,"Is Androcur effective?
Options: 1: Neutral, 2: No, 3: Yes",1,3,2,"Is Androcur likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Androcur safe?
Options: 1: Yes, 2: No, 3: Neutral",3,2,3,2
Anti Uron,brand,2,3,1,"Is Anti Uron associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",2,3,1,"Is Anti Uron effective?
Options: 1: Yes, 2: Neutral, 3: No",3,1,2,"Is Anti Uron likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",1,3,2,"Is Anti Uron safe?
Options: 1: Neutral, 2: Yes, 3: No",2,2,1,2
Antrex,brand,2,3,1,"Is Antrex associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",3,1,2,"Is Antrex effective?
Options: 1: No, 2: Yes, 3: Neutral",2,3,1,"Is Antrex likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Antrex safe?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,3
