concept_code,string_type_preferred,Unnamed: 0_preferred,string_preferred,string_type_brand,Unnamed: 0_brand,string_brand,prompt1,prompt2,unique_id
23,preferred name,354,Altretamine,brand name,357,Hexalen,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Hexalen and Altretamine. 

    Hexalen = []
    Altretamine = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Altretamine and Hexalen. 

    Altretamine = []
    Hexalen = []

    Only return the two Python lists with the appropriate adjectives.
    ",11
28,preferred name,374,Aminoglutethimide,brand name,375,Aminoblastin,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Aminoblastin and Aminoglutethimide. 

    Aminoblastin = []
    Aminoglutethimide = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Aminoglutethimide and Aminoblastin. 

    Aminoglutethimide = []
    Aminoblastin = []

    Only return the two Python lists with the appropriate adjectives.
    ",12
30,preferred name,384,Amrubicin,brand name,388,Calsed,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Calsed and Amrubicin. 

    Calsed = []
    Amrubicin = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Amrubicin and Calsed. 

    Amrubicin = []
    Calsed = []

    Only return the two Python lists with the appropriate adjectives.
    ",13
31,preferred name,389,Amsacrine,brand name,396,Amekrin,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Amekrin and Amsacrine. 

    Amekrin = []
    Amsacrine = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Amsacrine and Amekrin. 

    Amsacrine = []
    Amekrin = []

    Only return the two Python lists with the appropriate adjectives.
    ",14
33,preferred name,404,Anastrozole,brand name,405,Altraz,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Altraz and Anastrozole. 

    Altraz = []
    Anastrozole = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Anastrozole and Altraz. 

    Anastrozole = []
    Altraz = []

    Only return the two Python lists with the appropriate adjectives.
    ",15
39,preferred name,434,Apalutamide,brand name,436,Erleada,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Erleada and Apalutamide. 

    Erleada = []
    Apalutamide = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Apalutamide and Erleada. 

    Apalutamide = []
    Erleada = []

    Only return the two Python lists with the appropriate adjectives.
    ",16
40,preferred name,437,Apatinib,brand name,440,Aitan,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Aitan and Apatinib. 

    Aitan = []
    Apatinib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Apatinib and Aitan. 

    Apatinib = []
    Aitan = []

    Only return the two Python lists with the appropriate adjectives.
    ",17
44,preferred name,452,Arsenic trioxide,brand name,453,Arsenol,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Arsenol and Arsenic trioxide. 

    Arsenol = []
    Arsenic trioxide = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Arsenic trioxide and Arsenol. 

    Arsenic trioxide = []
    Arsenol = []

    Only return the two Python lists with the appropriate adjectives.
    ",18
45,preferred name,457,Asparaginase,brand name,462,Asparaginasa,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Asparaginasa and Asparaginase. 

    Asparaginasa = []
    Asparaginase = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Asparaginase and Asparaginasa. 

    Asparaginase = []
    Asparaginasa = []

    Only return the two Python lists with the appropriate adjectives.
    ",19
46,preferred name,478,Asparaginase Erwinia chrysanthemi,brand name,484,Erwinase,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Erwinase and Asparaginase Erwinia chrysanthemi. 

    Erwinase = []
    Asparaginase Erwinia chrysanthemi = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Asparaginase Erwinia chrysanthemi and Erwinase. 

    Asparaginase Erwinia chrysanthemi = []
    Erwinase = []

    Only return the two Python lists with the appropriate adjectives.
    ",20
49,preferred name,734,Atezolizumab,brand name,738,Tecentriq,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Tecentriq and Atezolizumab. 

    Tecentriq = []
    Atezolizumab = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Atezolizumab and Tecentriq. 

    Atezolizumab = []
    Tecentriq = []

    Only return the two Python lists with the appropriate adjectives.
    ",21
53,preferred name,748,Avelumab,brand name,750,Bavencio,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Bavencio and Avelumab. 

    Bavencio = []
    Avelumab = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Avelumab and Bavencio. 

    Avelumab = []
    Bavencio = []

    Only return the two Python lists with the appropriate adjectives.
    ",22
54,preferred name,751,Axicabtagene ciloleucel,brand name,755,Yescarta,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Yescarta and Axicabtagene ciloleucel. 

    Yescarta = []
    Axicabtagene ciloleucel = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Axicabtagene ciloleucel and Yescarta. 

    Axicabtagene ciloleucel = []
    Yescarta = []

    Only return the two Python lists with the appropriate adjectives.
    ",23
55,preferred name,756,Axitinib,brand name,759,Axishil,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Axishil and Axitinib. 

    Axishil = []
    Axitinib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Axitinib and Axishil. 

    Axitinib = []
    Axishil = []

    Only return the two Python lists with the appropriate adjectives.
    ",24
56,preferred name,764,Azacitidine,brand name,767,Azacitidina,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Azacitidina and Azacitidine. 

    Azacitidina = []
    Azacitidine = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Azacitidine and Azacitidina. 

    Azacitidine = []
    Azacitidina = []

    Only return the two Python lists with the appropriate adjectives.
    ",25
59,preferred name,781,Bacillus Calmette-Guerin,brand name,783,TheraCys,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs TheraCys and Bacillus Calmette-Guerin. 

    TheraCys = []
    Bacillus Calmette-Guerin = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Bacillus Calmette-Guerin and TheraCys. 

    Bacillus Calmette-Guerin = []
    TheraCys = []

    Only return the two Python lists with the appropriate adjectives.
    ",26
61,preferred name,787,Bavituximab,brand name,789,Tarvacin,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Tarvacin and Bavituximab. 

    Tarvacin = []
    Bavituximab = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Bavituximab and Tarvacin. 

    Bavituximab = []
    Tarvacin = []

    Only return the two Python lists with the appropriate adjectives.
    ",27
63,preferred name,792,Belinostat,brand name,794,Beleodaq,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Beleodaq and Belinostat. 

    Beleodaq = []
    Belinostat = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Belinostat and Beleodaq. 

    Belinostat = []
    Beleodaq = []

    Only return the two Python lists with the appropriate adjectives.
    ",28
64,preferred name,795,Belotecan,brand name,798,Camptobell,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Camptobell and Belotecan. 

    Camptobell = []
    Belotecan = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Belotecan and Camptobell. 

    Belotecan = []
    Camptobell = []

    Only return the two Python lists with the appropriate adjectives.
    ",29
65,preferred name,799,Bendamustine,brand name,806,Belrapzo,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Belrapzo and Bendamustine. 

    Belrapzo = []
    Bendamustine = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Bendamustine and Belrapzo. 

    Bendamustine = []
    Belrapzo = []

    Only return the two Python lists with the appropriate adjectives.
    ",30
68,preferred name,827,Bevacizumab,brand name,829,Altuzan,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Altuzan and Bevacizumab. 

    Altuzan = []
    Bevacizumab = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Bevacizumab and Altuzan. 

    Bevacizumab = []
    Altuzan = []

    Only return the two Python lists with the appropriate adjectives.
    ",31
69,preferred name,833,Bexarotene,brand name,835,Bexgratin,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Bexgratin and Bexarotene. 

    Bexgratin = []
    Bexarotene = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Bexarotene and Bexgratin. 

    Bexarotene = []
    Bexgratin = []

    Only return the two Python lists with the appropriate adjectives.
    ",32
70,preferred name,837,Bicalutamide,brand name,838,Calutide,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Calutide and Bicalutamide. 

    Calutide = []
    Bicalutamide = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Bicalutamide and Calutide. 

    Bicalutamide = []
    Calutide = []

    Only return the two Python lists with the appropriate adjectives.
    ",33
71,preferred name,842,Binimetinib,brand name,846,Mektovi,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Mektovi and Binimetinib. 

    Mektovi = []
    Binimetinib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Binimetinib and Mektovi. 

    Binimetinib = []
    Mektovi = []

    Only return the two Python lists with the appropriate adjectives.
    ",34
73,preferred name,850,Bleomycin,brand name,851,Blenoxane,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Blenoxane and Bleomycin. 

    Blenoxane = []
    Bleomycin = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Bleomycin and Blenoxane. 

    Bleomycin = []
    Blenoxane = []

    Only return the two Python lists with the appropriate adjectives.
    ",35
74,preferred name,857,Blinatumomab,brand name,861,Blincyto,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Blincyto and Blinatumomab. 

    Blincyto = []
    Blinatumomab = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Blinatumomab and Blincyto. 

    Blinatumomab = []
    Blincyto = []

    Only return the two Python lists with the appropriate adjectives.
    ",36
75,preferred name,862,Bortezomib,brand name,866,Biocure,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Biocure and Bortezomib. 

    Biocure = []
    Bortezomib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Bortezomib and Biocure. 

    Bortezomib = []
    Biocure = []

    Only return the two Python lists with the appropriate adjectives.
    ",37
76,preferred name,885,Bosutinib,brand name,887,Bosulif,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Bosulif and Bosutinib. 

    Bosulif = []
    Bosutinib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Bosutinib and Bosulif. 

    Bosutinib = []
    Bosulif = []

    Only return the two Python lists with the appropriate adjectives.
    ",38
77,preferred name,888,Brentuximab vedotin,brand name,891,Adcetris,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Adcetris and Brentuximab vedotin. 

    Adcetris = []
    Brentuximab vedotin = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Brentuximab vedotin and Adcetris. 

    Brentuximab vedotin = []
    Adcetris = []

    Only return the two Python lists with the appropriate adjectives.
    ",39
78,preferred name,892,Brigatinib,brand name,894,Alunbrig,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Alunbrig and Brigatinib. 

    Alunbrig = []
    Brigatinib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Brigatinib and Alunbrig. 

    Brigatinib = []
    Alunbrig = []

    Only return the two Python lists with the appropriate adjectives.
    ",40
80,preferred name,900,Busulfan,brand name,901,Busilvex,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Busilvex and Busulfan. 

    Busilvex = []
    Busulfan = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Busulfan and Busilvex. 

    Busulfan = []
    Busilvex = []

    Only return the two Python lists with the appropriate adjectives.
    ",41
81,preferred name,904,Cabazitaxel,brand name,908,Cabapan,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Cabapan and Cabazitaxel. 

    Cabapan = []
    Cabazitaxel = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Cabazitaxel and Cabapan. 

    Cabazitaxel = []
    Cabapan = []

    Only return the two Python lists with the appropriate adjectives.
    ",42
82,preferred name,919,Cabozantinib,brand name,922,Cabometyx,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Cabometyx and Cabozantinib. 

    Cabometyx = []
    Cabozantinib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Cabozantinib and Cabometyx. 

    Cabozantinib = []
    Cabometyx = []

    Only return the two Python lists with the appropriate adjectives.
    ",43
83,preferred name,928,Calaspargase,brand name,930,Asparlas,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Asparlas and Calaspargase. 

    Asparlas = []
    Calaspargase = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Calaspargase and Asparlas. 

    Calaspargase = []
    Asparlas = []

    Only return the two Python lists with the appropriate adjectives.
    ",44
86,preferred name,937,Capecitabine,brand name,941,Cabita,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Cabita and Capecitabine. 

    Cabita = []
    Capecitabine = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Capecitabine and Cabita. 

    Capecitabine = []
    Cabita = []

    Only return the two Python lists with the appropriate adjectives.
    ",45
