concept_code,string_type,string,question_about,question_patient,question_physician
71,preferred,Binimetinib,Tell me about Binimetinib.,"As a patient, what should I know about Binimetinib?","As a physician, what should I know about Binimetinib?"
73,preferred,Bleomycin,Tell me about Bleomycin.,"As a patient, what should I know about Bleomycin?","As a physician, what should I know about Bleomycin?"
74,preferred,Blinatumomab,Tell me about Blinatumomab.,"As a patient, what should I know about Blinatumomab?","As a physician, what should I know about Blinatumomab?"
75,preferred,Bortezomib,Tell me about Bortezomib.,"As a patient, what should I know about Bortezomib?","As a physician, what should I know about Bortezomib?"
76,preferred,Bosutinib,Tell me about Bosutinib.,"As a patient, what should I know about Bosutinib?","As a physician, what should I know about Bosutinib?"
77,preferred,Brentuximab vedotin,Tell me about Brentuximab vedotin.,"As a patient, what should I know about Brentuximab vedotin?","As a physician, what should I know about Brentuximab vedotin?"
78,preferred,Brigatinib,Tell me about Brigatinib.,"As a patient, what should I know about Brigatinib?","As a physician, what should I know about Brigatinib?"
80,preferred,Busulfan,Tell me about Busulfan.,"As a patient, what should I know about Busulfan?","As a physician, what should I know about Busulfan?"
81,preferred,Cabazitaxel,Tell me about Cabazitaxel.,"As a patient, what should I know about Cabazitaxel?","As a physician, what should I know about Cabazitaxel?"
82,preferred,Cabozantinib,Tell me about Cabozantinib.,"As a patient, what should I know about Cabozantinib?","As a physician, what should I know about Cabozantinib?"
83,preferred,Calaspargase,Tell me about Calaspargase.,"As a patient, what should I know about Calaspargase?","As a physician, what should I know about Calaspargase?"
86,preferred,Capecitabine,Tell me about Capecitabine.,"As a patient, what should I know about Capecitabine?","As a physician, what should I know about Capecitabine?"
88,preferred,Carboplatin,Tell me about Carboplatin.,"As a patient, what should I know about Carboplatin?","As a physician, what should I know about Carboplatin?"
89,preferred,Carfilzomib,Tell me about Carfilzomib.,"As a patient, what should I know about Carfilzomib?","As a physician, what should I know about Carfilzomib?"
90,preferred,Carmustine,Tell me about Carmustine.,"As a patient, what should I know about Carmustine?","As a physician, what should I know about Carmustine?"
91,preferred,Carmustine wafer polifeprosan 20,Tell me about Carmustine wafer polifeprosan 20.,"As a patient, what should I know about Carmustine wafer polifeprosan 20?","As a physician, what should I know about Carmustine wafer polifeprosan 20?"
94,preferred,Cediranib,Tell me about Cediranib.,"As a patient, what should I know about Cediranib?","As a physician, what should I know about Cediranib?"
95,preferred,Cemiplimab,Tell me about Cemiplimab.,"As a patient, what should I know about Cemiplimab?","As a physician, what should I know about Cemiplimab?"
96,preferred,Ceritinib,Tell me about Ceritinib.,"As a patient, what should I know about Ceritinib?","As a physician, what should I know about Ceritinib?"
98,preferred,Cetuximab,Tell me about Cetuximab.,"As a patient, what should I know about Cetuximab?","As a physician, what should I know about Cetuximab?"
99,preferred,Chidamide,Tell me about Chidamide.,"As a patient, what should I know about Chidamide?","As a physician, what should I know about Chidamide?"
100,preferred,Chlorambucil,Tell me about Chlorambucil.,"As a patient, what should I know about Chlorambucil?","As a physician, what should I know about Chlorambucil?"
105,preferred,Cisplatin,Tell me about Cisplatin.,"As a patient, what should I know about Cisplatin?","As a physician, what should I know about Cisplatin?"
107,preferred,Cladribine,Tell me about Cladribine.,"As a patient, what should I know about Cladribine?","As a physician, what should I know about Cladribine?"
108,preferred,Clarithromycin,Tell me about Clarithromycin.,"As a patient, what should I know about Clarithromycin?","As a physician, what should I know about Clarithromycin?"
111,preferred,Clofarabine,Tell me about Clofarabine.,"As a patient, what should I know about Clofarabine?","As a physician, what should I know about Clofarabine?"
113,preferred,Cobimetinib,Tell me about Cobimetinib.,"As a patient, what should I know about Cobimetinib?","As a physician, what should I know about Cobimetinib?"
115,preferred,Copanlisib,Tell me about Copanlisib.,"As a patient, what should I know about Copanlisib?","As a physician, what should I know about Copanlisib?"
119,preferred,Crizotinib,Tell me about Crizotinib.,"As a patient, what should I know about Crizotinib?","As a physician, what should I know about Crizotinib?"
122,preferred,Cyclophosphamide,Tell me about Cyclophosphamide.,"As a patient, what should I know about Cyclophosphamide?","As a physician, what should I know about Cyclophosphamide?"
125,preferred,Cyproterone acetate,Tell me about Cyproterone acetate.,"As a patient, what should I know about Cyproterone acetate?","As a physician, what should I know about Cyproterone acetate?"
126,preferred,Cytarabine,Tell me about Cytarabine.,"As a patient, what should I know about Cytarabine?","As a physician, what should I know about Cytarabine?"
127,preferred,Cytarabine and daunorubicin liposomal,Tell me about Cytarabine and daunorubicin liposomal.,"As a patient, what should I know about Cytarabine and daunorubicin liposomal?","As a physician, what should I know about Cytarabine and daunorubicin liposomal?"
131,preferred,Dabrafenib,Tell me about Dabrafenib.,"As a patient, what should I know about Dabrafenib?","As a physician, what should I know about Dabrafenib?"
132,preferred,Dacarbazine,Tell me about Dacarbazine.,"As a patient, what should I know about Dacarbazine?","As a physician, what should I know about Dacarbazine?"
133,preferred,Dacomitinib,Tell me about Dacomitinib.,"As a patient, what should I know about Dacomitinib?","As a physician, what should I know about Dacomitinib?"
134,preferred,Dactinomycin,Tell me about Dactinomycin.,"As a patient, what should I know about Dactinomycin?","As a physician, what should I know about Dactinomycin?"
137,preferred,Danazol,Tell me about Danazol.,"As a patient, what should I know about Danazol?","As a physician, what should I know about Danazol?"
139,preferred,Daratumumab,Tell me about Daratumumab.,"As a patient, what should I know about Daratumumab?","As a physician, what should I know about Daratumumab?"
141,preferred,Darolutamide,Tell me about Darolutamide.,"As a patient, what should I know about Darolutamide?","As a physician, what should I know about Darolutamide?"
142,preferred,Dasatinib,Tell me about Dasatinib.,"As a patient, what should I know about Dasatinib?","As a physician, what should I know about Dasatinib?"
143,preferred,Daunorubicin,Tell me about Daunorubicin.,"As a patient, what should I know about Daunorubicin?","As a physician, what should I know about Daunorubicin?"
144,preferred,Daunorubicin liposomal,Tell me about Daunorubicin liposomal.,"As a patient, what should I know about Daunorubicin liposomal?","As a physician, what should I know about Daunorubicin liposomal?"
145,preferred,Decitabine,Tell me about Decitabine.,"As a patient, what should I know about Decitabine?","As a physician, what should I know about Decitabine?"
151,preferred,Degarelix,Tell me about Degarelix.,"As a patient, what should I know about Degarelix?","As a physician, what should I know about Degarelix?"
152,preferred,Denileukin diftitox,Tell me about Denileukin diftitox.,"As a patient, what should I know about Denileukin diftitox?","As a physician, what should I know about Denileukin diftitox?"
154,preferred,Denosumab,Tell me about Denosumab.,"As a patient, what should I know about Denosumab?","As a physician, what should I know about Denosumab?"
156,preferred,Dexamethasone,Tell me about Dexamethasone.,"As a patient, what should I know about Dexamethasone?","As a physician, what should I know about Dexamethasone?"
158,preferred,Dexrazoxane,Tell me about Dexrazoxane.,"As a patient, what should I know about Dexrazoxane?","As a physician, what should I know about Dexrazoxane?"
159,preferred,Diethylstilbestrol,Tell me about Diethylstilbestrol.,"As a patient, what should I know about Diethylstilbestrol?","As a physician, what should I know about Diethylstilbestrol?"
161,preferred,Dinutuximab,Tell me about Dinutuximab.,"As a patient, what should I know about Dinutuximab?","As a physician, what should I know about Dinutuximab?"
164,preferred,Docetaxel,Tell me about Docetaxel.,"As a patient, what should I know about Docetaxel?","As a physician, what should I know about Docetaxel?"
169,preferred,Doxifluridine,Tell me about Doxifluridine.,"As a patient, what should I know about Doxifluridine?","As a physician, what should I know about Doxifluridine?"
170,preferred,Doxorubicin,Tell me about Doxorubicin.,"As a patient, what should I know about Doxorubicin?","As a physician, what should I know about Doxorubicin?"
173,preferred,Durvalumab,Tell me about Durvalumab.,"As a patient, what should I know about Durvalumab?","As a physician, what should I know about Durvalumab?"
174,preferred,Dutasteride,Tell me about Dutasteride.,"As a patient, what should I know about Dutasteride?","As a physician, what should I know about Dutasteride?"
175,preferred,Duvelisib,Tell me about Duvelisib.,"As a patient, what should I know about Duvelisib?","As a physician, what should I know about Duvelisib?"
178,preferred,Edrecolomab,Tell me about Edrecolomab.,"As a patient, what should I know about Edrecolomab?","As a physician, what should I know about Edrecolomab?"
179,preferred,Elotuzumab,Tell me about Elotuzumab.,"As a patient, what should I know about Elotuzumab?","As a physician, what should I know about Elotuzumab?"
182,preferred,Enasidenib,Tell me about Enasidenib.,"As a patient, what should I know about Enasidenib?","As a physician, what should I know about Enasidenib?"
183,preferred,Encorafenib,Tell me about Encorafenib.,"As a patient, what should I know about Encorafenib?","As a physician, what should I know about Encorafenib?"
188,preferred,Entrectinib,Tell me about Entrectinib.,"As a patient, what should I know about Entrectinib?","As a physician, what should I know about Entrectinib?"
189,preferred,Enzalutamide,Tell me about Enzalutamide.,"As a patient, what should I know about Enzalutamide?","As a physician, what should I know about Enzalutamide?"
191,preferred,Epirubicin,Tell me about Epirubicin.,"As a patient, what should I know about Epirubicin?","As a physician, what should I know about Epirubicin?"
196,preferred,Erdafitinib,Tell me about Erdafitinib.,"As a patient, what should I know about Erdafitinib?","As a physician, what should I know about Erdafitinib?"
197,preferred,Eribulin,Tell me about Eribulin.,"As a patient, what should I know about Eribulin?","As a physician, what should I know about Eribulin?"
198,preferred,Erlotinib,Tell me about Erlotinib.,"As a patient, what should I know about Erlotinib?","As a physician, what should I know about Erlotinib?"
200,preferred,Estramustine,Tell me about Estramustine.,"As a patient, what should I know about Estramustine?","As a physician, what should I know about Estramustine?"
201,preferred,Etoposide,Tell me about Etoposide.,"As a patient, what should I know about Etoposide?","As a physician, what should I know about Etoposide?"
202,preferred,Everolimus,Tell me about Everolimus.,"As a patient, what should I know about Everolimus?","As a physician, what should I know about Everolimus?"
203,preferred,Exemestane,Tell me about Exemestane.,"As a patient, what should I know about Exemestane?","As a physician, what should I know about Exemestane?"
222,preferred,Floxuridine,Tell me about Floxuridine.,"As a patient, what should I know about Floxuridine?","As a physician, what should I know about Floxuridine?"
224,preferred,Fludarabine,Tell me about Fludarabine.,"As a patient, what should I know about Fludarabine?","As a physician, what should I know about Fludarabine?"
225,preferred,Fluorouracil,Tell me about Fluorouracil.,"As a patient, what should I know about Fluorouracil?","As a physician, what should I know about Fluorouracil?"
226,preferred,Fluoxymesterone,Tell me about Fluoxymesterone.,"As a patient, what should I know about Fluoxymesterone?","As a physician, what should I know about Fluoxymesterone?"
227,preferred,Flutamide,Tell me about Flutamide.,"As a patient, what should I know about Flutamide?","As a physician, what should I know about Flutamide?"
229,preferred,Folinic acid,Tell me about Folinic acid.,"As a patient, what should I know about Folinic acid?","As a physician, what should I know about Folinic acid?"
231,preferred,Formestane,Tell me about Formestane.,"As a patient, what should I know about Formestane?","As a physician, what should I know about Formestane?"
232,preferred,Forodesine,Tell me about Forodesine.,"As a patient, what should I know about Forodesine?","As a physician, what should I know about Forodesine?"
234,preferred,Fostamatinib,Tell me about Fostamatinib.,"As a patient, what should I know about Fostamatinib?","As a physician, what should I know about Fostamatinib?"
235,preferred,Fotemustine,Tell me about Fotemustine.,"As a patient, what should I know about Fotemustine?","As a physician, what should I know about Fotemustine?"
237,preferred,Fulvestrant,Tell me about Fulvestrant.,"As a patient, what should I know about Fulvestrant?","As a physician, what should I know about Fulvestrant?"
242,preferred,Gefitinib,Tell me about Gefitinib.,"As a patient, what should I know about Gefitinib?","As a physician, what should I know about Gefitinib?"
243,preferred,Gemcitabine,Tell me about Gemcitabine.,"As a patient, what should I know about Gemcitabine?","As a physician, what should I know about Gemcitabine?"
244,preferred,Gemtuzumab ozogamicin,Tell me about Gemtuzumab ozogamicin.,"As a patient, what should I know about Gemtuzumab ozogamicin?","As a physician, what should I know about Gemtuzumab ozogamicin?"
245,preferred,Gilteritinib,Tell me about Gilteritinib.,"As a patient, what should I know about Gilteritinib?","As a physician, what should I know about Gilteritinib?"
246,preferred,Glasdegib,Tell me about Glasdegib.,"As a patient, what should I know about Glasdegib?","As a physician, what should I know about Glasdegib?"
248,preferred,Goserelin,Tell me about Goserelin.,"As a patient, what should I know about Goserelin?","As a physician, what should I know about Goserelin?"
256,preferred,Histrelin,Tell me about Histrelin.,"As a patient, what should I know about Histrelin?","As a physician, what should I know about Histrelin?"
258,preferred,Hydrocortisone,Tell me about Hydrocortisone.,"As a patient, what should I know about Hydrocortisone?","As a physician, what should I know about Hydrocortisone?"
259,preferred,Hydroxyurea,Tell me about Hydroxyurea.,"As a patient, what should I know about Hydroxyurea?","As a physician, what should I know about Hydroxyurea?"
262,preferred,Ibritumomab tiuxetan,Tell me about Ibritumomab tiuxetan.,"As a patient, what should I know about Ibritumomab tiuxetan?","As a physician, what should I know about Ibritumomab tiuxetan?"
263,preferred,Ibrutinib,Tell me about Ibrutinib.,"As a patient, what should I know about Ibrutinib?","As a physician, what should I know about Ibrutinib?"
264,preferred,Icotinib,Tell me about Icotinib.,"As a patient, what should I know about Icotinib?","As a physician, what should I know about Icotinib?"
265,preferred,Idarubicin,Tell me about Idarubicin.,"As a patient, what should I know about Idarubicin?","As a physician, what should I know about Idarubicin?"
267,preferred,Idelalisib,Tell me about Idelalisib.,"As a patient, what should I know about Idelalisib?","As a physician, what should I know about Idelalisib?"
268,preferred,Ifosfamide,Tell me about Ifosfamide.,"As a patient, what should I know about Ifosfamide?","As a physician, what should I know about Ifosfamide?"
269,preferred,Imatinib,Tell me about Imatinib.,"As a patient, what should I know about Imatinib?","As a physician, what should I know about Imatinib?"
272,preferred,Infigratinib,Tell me about Infigratinib.,"As a patient, what should I know about Infigratinib?","As a physician, what should I know about Infigratinib?"
273,preferred,Inotuzumab ozogamicin,Tell me about Inotuzumab ozogamicin.,"As a patient, what should I know about Inotuzumab ozogamicin?","As a physician, what should I know about Inotuzumab ozogamicin?"
274,preferred,Interferon alfa-2a,Tell me about Interferon alfa-2a.,"As a patient, what should I know about Interferon alfa-2a?","As a physician, what should I know about Interferon alfa-2a?"
275,preferred,Interferon alfa-2b,Tell me about Interferon alfa-2b.,"As a patient, what should I know about Interferon alfa-2b?","As a physician, what should I know about Interferon alfa-2b?"
276,preferred,Interferon gamma-1b,Tell me about Interferon gamma-1b.,"As a patient, what should I know about Interferon gamma-1b?","As a physician, what should I know about Interferon gamma-1b?"
279,preferred,Ipilimumab,Tell me about Ipilimumab.,"As a patient, what should I know about Ipilimumab?","As a physician, what should I know about Ipilimumab?"
280,preferred,Irinotecan,Tell me about Irinotecan.,"As a patient, what should I know about Irinotecan?","As a physician, what should I know about Irinotecan?"
281,preferred,Irinotecan liposome,Tell me about Irinotecan liposome.,"As a patient, what should I know about Irinotecan liposome?","As a physician, what should I know about Irinotecan liposome?"
284,preferred,Isatuximab,Tell me about Isatuximab.,"As a patient, what should I know about Isatuximab?","As a physician, what should I know about Isatuximab?"
285,preferred,Isotretinoin,Tell me about Isotretinoin.,"As a patient, what should I know about Isotretinoin?","As a physician, what should I know about Isotretinoin?"
287,preferred,Ivosidenib,Tell me about Ivosidenib.,"As a patient, what should I know about Ivosidenib?","As a physician, what should I know about Ivosidenib?"
288,preferred,Ixabepilone,Tell me about Ixabepilone.,"As a patient, what should I know about Ixabepilone?","As a physician, what should I know about Ixabepilone?"
289,preferred,Ixazomib,Tell me about Ixazomib.,"As a patient, what should I know about Ixazomib?","As a physician, what should I know about Ixazomib?"
290,preferred,Ketoconazole,Tell me about Ketoconazole.,"As a patient, what should I know about Ketoconazole?","As a physician, what should I know about Ketoconazole?"
294,preferred,Lanreotide,Tell me about Lanreotide.,"As a patient, what should I know about Lanreotide?","As a physician, what should I know about Lanreotide?"
295,preferred,Lansoprazole,Tell me about Lansoprazole.,"As a patient, what should I know about Lansoprazole?","As a physician, what should I know about Lansoprazole?"
296,preferred,Lapatinib,Tell me about Lapatinib.,"As a patient, what should I know about Lapatinib?","As a physician, what should I know about Lapatinib?"
298,preferred,Larotrectinib,Tell me about Larotrectinib.,"As a patient, what should I know about Larotrectinib?","As a physician, what should I know about Larotrectinib?"
299,preferred,Lenalidomide,Tell me about Lenalidomide.,"As a patient, what should I know about Lenalidomide?","As a physician, what should I know about Lenalidomide?"
300,preferred,Lenograstim,Tell me about Lenograstim.,"As a patient, what should I know about Lenograstim?","As a physician, what should I know about Lenograstim?"
301,preferred,Lenvatinib,Tell me about Lenvatinib.,"As a patient, what should I know about Lenvatinib?","As a physician, what should I know about Lenvatinib?"
304,preferred,Letrozole,Tell me about Letrozole.,"As a patient, what should I know about Letrozole?","As a physician, what should I know about Letrozole?"
305,preferred,Leuprolide,Tell me about Leuprolide.,"As a patient, what should I know about Leuprolide?","As a physician, what should I know about Leuprolide?"
306,preferred,Levamisole,Tell me about Levamisole.,"As a patient, what should I know about Levamisole?","As a physician, what should I know about Levamisole?"
308,preferred,Levoleucovorin,Tell me about Levoleucovorin.,"As a patient, what should I know about Levoleucovorin?","As a physician, what should I know about Levoleucovorin?"
311,preferred,Lomustine,Tell me about Lomustine.,"As a patient, what should I know about Lomustine?","As a physician, what should I know about Lomustine?"
314,preferred,Lorlatinib,Tell me about Lorlatinib.,"As a patient, what should I know about Lorlatinib?","As a physician, what should I know about Lorlatinib?"
316,preferred,Lutetium Lu 177 dotatate,Tell me about Lutetium Lu 177 dotatate.,"As a patient, what should I know about Lutetium Lu 177 dotatate?","As a physician, what should I know about Lutetium Lu 177 dotatate?"
318,preferred,Tafasitamab,Tell me about Tafasitamab.,"As a patient, what should I know about Tafasitamab?","As a physician, what should I know about Tafasitamab?"
322,preferred,Mechlorethamine,Tell me about Mechlorethamine.,"As a patient, what should I know about Mechlorethamine?","As a physician, what should I know about Mechlorethamine?"
323,preferred,Medroxyprogesterone,Tell me about Medroxyprogesterone.,"As a patient, what should I know about Medroxyprogesterone?","As a physician, what should I know about Medroxyprogesterone?"
324,preferred,Megestrol,Tell me about Megestrol.,"As a patient, what should I know about Megestrol?","As a physician, what should I know about Megestrol?"
325,preferred,Melphalan,Tell me about Melphalan.,"As a patient, what should I know about Melphalan?","As a physician, what should I know about Melphalan?"
327,preferred,Mercaptopurine,Tell me about Mercaptopurine.,"As a patient, what should I know about Mercaptopurine?","As a physician, what should I know about Mercaptopurine?"
328,preferred,Mesna,Tell me about Mesna.,"As a patient, what should I know about Mesna?","As a physician, what should I know about Mesna?"
329,preferred,Methotrexate,Tell me about Methotrexate.,"As a patient, what should I know about Methotrexate?","As a physician, what should I know about Methotrexate?"
330,preferred,Methoxsalen,Tell me about Methoxsalen.,"As a patient, what should I know about Methoxsalen?","As a physician, what should I know about Methoxsalen?"
331,preferred,Methylprednisolone,Tell me about Methylprednisolone.,"As a patient, what should I know about Methylprednisolone?","As a physician, what should I know about Methylprednisolone?"
333,preferred,Midostaurin,Tell me about Midostaurin.,"As a patient, what should I know about Midostaurin?","As a physician, what should I know about Midostaurin?"
334,preferred,Mitomycin,Tell me about Mitomycin.,"As a patient, what should I know about Mitomycin?","As a physician, what should I know about Mitomycin?"
335,preferred,Mitotane,Tell me about Mitotane.,"As a patient, what should I know about Mitotane?","As a physician, what should I know about Mitotane?"
336,preferred,Mitoxantrone,Tell me about Mitoxantrone.,"As a patient, what should I know about Mitoxantrone?","As a physician, what should I know about Mitoxantrone?"
338,preferred,Mogamulizumab,Tell me about Mogamulizumab.,"As a patient, what should I know about Mogamulizumab?","As a physician, what should I know about Mogamulizumab?"
342,preferred,Moxetumomab pasudotox,Tell me about Moxetumomab pasudotox.,"As a patient, what should I know about Moxetumomab pasudotox?","As a physician, what should I know about Moxetumomab pasudotox?"
346,preferred,Nadroparin,Tell me about Nadroparin.,"As a patient, what should I know about Nadroparin?","As a physician, what should I know about Nadroparin?"
347,preferred,Necitumumab,Tell me about Necitumumab.,"As a patient, what should I know about Necitumumab?","As a physician, what should I know about Necitumumab?"
348,preferred,Nedaplatin,Tell me about Nedaplatin.,"As a patient, what should I know about Nedaplatin?","As a physician, what should I know about Nedaplatin?"
349,preferred,Nelarabine,Tell me about Nelarabine.,"As a patient, what should I know about Nelarabine?","As a physician, what should I know about Nelarabine?"
350,preferred,Neratinib,Tell me about Neratinib.,"As a patient, what should I know about Neratinib?","As a physician, what should I know about Neratinib?"
352,preferred,Nilotinib,Tell me about Nilotinib.,"As a patient, what should I know about Nilotinib?","As a physician, what should I know about Nilotinib?"
353,preferred,Nilutamide,Tell me about Nilutamide.,"As a patient, what should I know about Nilutamide?","As a physician, what should I know about Nilutamide?"
354,preferred,Nimustine,Tell me about Nimustine.,"As a patient, what should I know about Nimustine?","As a physician, what should I know about Nimustine?"
355,preferred,Nintedanib,Tell me about Nintedanib.,"As a patient, what should I know about Nintedanib?","As a physician, what should I know about Nintedanib?"
356,preferred,Niraparib,Tell me about Niraparib.,"As a patient, what should I know about Niraparib?","As a physician, what should I know about Niraparib?"
357,preferred,Nivolumab,Tell me about Nivolumab.,"As a patient, what should I know about Nivolumab?","As a physician, what should I know about Nivolumab?"
359,preferred,Non-pegylated liposomal doxorubicin,Tell me about Non-pegylated liposomal doxorubicin.,"As a patient, what should I know about Non-pegylated liposomal doxorubicin?","As a physician, what should I know about Non-pegylated liposomal doxorubicin?"
360,preferred,Norethandrolone,Tell me about Norethandrolone.,"As a patient, what should I know about Norethandrolone?","As a physician, what should I know about Norethandrolone?"
361,preferred,Obinutuzumab,Tell me about Obinutuzumab.,"As a patient, what should I know about Obinutuzumab?","As a physician, what should I know about Obinutuzumab?"
362,preferred,Octreotide,Tell me about Octreotide.,"As a patient, what should I know about Octreotide?","As a physician, what should I know about Octreotide?"
363,preferred,Octreotide LAR,Tell me about Octreotide LAR.,"As a patient, what should I know about Octreotide LAR?","As a physician, what should I know about Octreotide LAR?"
364,preferred,Ofatumumab,Tell me about Ofatumumab.,"As a patient, what should I know about Ofatumumab?","As a physician, what should I know about Ofatumumab?"
366,preferred,Olaparib,Tell me about Olaparib.,"As a patient, what should I know about Olaparib?","As a physician, what should I know about Olaparib?"
367,preferred,Olaratumab,Tell me about Olaratumab.,"As a patient, what should I know about Olaratumab?","As a physician, what should I know about Olaratumab?"
368,preferred,Omacetaxine,Tell me about Omacetaxine.,"As a patient, what should I know about Omacetaxine?","As a physician, what should I know about Omacetaxine?"
369,preferred,Omeprazole,Tell me about Omeprazole.,"As a patient, what should I know about Omeprazole?","As a physician, what should I know about Omeprazole?"
375,preferred,Osimertinib,Tell me about Osimertinib.,"As a patient, what should I know about Osimertinib?","As a physician, what should I know about Osimertinib?"
377,preferred,Oxaliplatin,Tell me about Oxaliplatin.,"As a patient, what should I know about Oxaliplatin?","As a physician, what should I know about Oxaliplatin?"
378,preferred,Paclitaxel nanoparticle albumin-bound,Tell me about Paclitaxel nanoparticle albumin-bound.,"As a patient, what should I know about Paclitaxel nanoparticle albumin-bound?","As a physician, what should I know about Paclitaxel nanoparticle albumin-bound?"
379,preferred,Paclitaxel,Tell me about Paclitaxel.,"As a patient, what should I know about Paclitaxel?","As a physician, what should I know about Paclitaxel?"
380,preferred,Pacritinib,Tell me about Pacritinib.,"As a patient, what should I know about Pacritinib?","As a physician, what should I know about Pacritinib?"
381,preferred,Palbociclib,Tell me about Palbociclib.,"As a patient, what should I know about Palbociclib?","As a physician, what should I know about Palbociclib?"
384,preferred,Panitumumab,Tell me about Panitumumab.,"As a patient, what should I know about Panitumumab?","As a physician, what should I know about Panitumumab?"
385,preferred,Panobinostat,Tell me about Panobinostat.,"As a patient, what should I know about Panobinostat?","As a physician, what should I know about Panobinostat?"
387,preferred,Pazopanib,Tell me about Pazopanib.,"As a patient, what should I know about Pazopanib?","As a physician, what should I know about Pazopanib?"
