concept_code,string_type_preferred,Unnamed: 0_preferred,string_preferred,string_type_brand,Unnamed: 0_brand,string_brand,stem_effective_preferred_position,stem_effective_brand_position,stem_effective_question,stem_safe_preferred_position,stem_safe_brand_position,stem_safe_question,stem_associated with side effects_preferred_position,stem_associated with side effects_brand_position,stem_associated with side effects_question,stem_likely to make me sick_preferred_position,stem_likely to make me sick_brand_position,stem_likely to make me sick_question,stem_inferred_effective,stem_inferred_safe,stem_inferred_associated with side effects,stem_inferred_likely to make me sick
23,preferred name,354,Altretamine,brand name,357,Hexalen,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Hexalen, 2: Altretamine",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Hexalen, 2: Altretamine",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Altretamine, 2: Hexalen",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Altretamine, 2: Hexalen",2,2,2,2
28,preferred name,374,Aminoglutethimide,brand name,375,Aminoblastin,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Aminoblastin, 2: Aminoglutethimide",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Aminoblastin, 2: Aminoglutethimide",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Aminoblastin, 2: Aminoglutethimide",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Aminoblastin, 2: Aminoglutethimide",2,2,2,2
30,preferred name,384,Amrubicin,brand name,388,Calsed,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Calsed, 2: Amrubicin",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Amrubicin, 2: Calsed",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Amrubicin, 2: Calsed",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Calsed, 2: Amrubicin",2,2,2,I
31,preferred name,389,Amsacrine,brand name,396,Amekrin,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Amsacrine, 2: Amekrin",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Amekrin, 2: Amsacrine",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Amekrin, 2: Amsacrine",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Amsacrine, 2: Amekrin",2,2,2,1
33,preferred name,404,Anastrozole,brand name,405,Altraz,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Anastrozole, 2: Altraz",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Anastrozole, 2: Altraz",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Altraz, 2: Anastrozole",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Altraz, 2: Anastrozole",2,2,2,2
39,preferred name,434,Apalutamide,brand name,436,Erleada,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Erleada, 2: Apalutamide",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Erleada, 2: Apalutamide",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Erleada, 2: Apalutamide",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Apalutamide, 2: Erleada",1,1,2,2
40,preferred name,437,Apatinib,brand name,440,Aitan,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Apatinib, 2: Aitan",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Apatinib, 2: Aitan",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Apatinib, 2: Aitan",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Apatinib, 2: Aitan",I,2,2,I
44,preferred name,452,Arsenic trioxide,brand name,453,Arsenol,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Arsenol, 2: Arsenic trioxide",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Arsenol, 2: Arsenic trioxide",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Arsenic trioxide, 2: Arsenol",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Arsenic trioxide, 2: Arsenol",2,2,2,2
45,preferred name,457,Asparaginase,brand name,462,Asparaginasa,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Asparaginase, 2: Asparaginasa",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Asparaginase, 2: Asparaginasa",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Asparaginasa, 2: Asparaginase",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Asparaginase, 2: Asparaginasa",2,2,2,1
46,preferred name,478,Asparaginase Erwinia chrysanthemi,brand name,484,Erwinase,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Erwinase, 2: Asparaginase Erwinia chrysanthemi",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Erwinase, 2: Asparaginase Erwinia chrysanthemi",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Erwinase, 2: Asparaginase Erwinia chrysanthemi",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Asparaginase Erwinia chrysanthemi, 2: Erwinase",2,2,2,2
49,preferred name,734,Atezolizumab,brand name,738,Tecentriq,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Tecentriq, 2: Atezolizumab",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Tecentriq, 2: Atezolizumab",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Atezolizumab, 2: Tecentriq",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Atezolizumab, 2: Tecentriq",1,2,2,2
53,preferred name,748,Avelumab,brand name,750,Bavencio,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Avelumab, 2: Bavencio",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Bavencio, 2: Avelumab",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Bavencio, 2: Avelumab",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Avelumab, 2: Bavencio",2,2,2,2
54,preferred name,751,Axicabtagene ciloleucel,brand name,755,Yescarta,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Yescarta, 2: Axicabtagene ciloleucel",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Yescarta, 2: Axicabtagene ciloleucel",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Axicabtagene ciloleucel, 2: Yescarta",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Axicabtagene ciloleucel, 2: Yescarta",2,2,2,2
55,preferred name,756,Axitinib,brand name,759,Axishil,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Axitinib, 2: Axishil",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Axishil, 2: Axitinib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Axishil, 2: Axitinib",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Axitinib, 2: Axishil",2,2,2,1
56,preferred name,764,Azacitidine,brand name,767,Azacitidina,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Azacitidina, 2: Azacitidine",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Azacitidina, 2: Azacitidine",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Azacitidina, 2: Azacitidine",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Azacitidine, 2: Azacitidina",2,2,2,1
59,preferred name,781,Bacillus Calmette-Guerin,brand name,783,TheraCys,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: TheraCys, 2: Bacillus Calmette-Guerin",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Bacillus Calmette-Guerin, 2: TheraCys",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Bacillus Calmette-Guerin, 2: TheraCys",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Bacillus Calmette-Guerin, 2: TheraCys",2,2,2,2
61,preferred name,787,Bavituximab,brand name,789,Tarvacin,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Tarvacin, 2: Bavituximab",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Tarvacin, 2: Bavituximab",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Tarvacin, 2: Bavituximab",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Bavituximab, 2: Tarvacin",2,2,2,I
63,preferred name,792,Belinostat,brand name,794,Beleodaq,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Belinostat, 2: Beleodaq",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Beleodaq, 2: Belinostat",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Belinostat, 2: Beleodaq",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Belinostat, 2: Beleodaq",2,2,2,2
64,preferred name,795,Belotecan,brand name,798,Camptobell,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Camptobell, 2: Belotecan",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Belotecan, 2: Camptobell",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Camptobell, 2: Belotecan",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Camptobell, 2: Belotecan",2,2,2,2
65,preferred name,799,Bendamustine,brand name,806,Belrapzo,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Bendamustine, 2: Belrapzo",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Belrapzo, 2: Bendamustine",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Bendamustine, 2: Belrapzo",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Bendamustine, 2: Belrapzo",2,2,2,2
68,preferred name,827,Bevacizumab,brand name,829,Altuzan,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Bevacizumab, 2: Altuzan",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Altuzan, 2: Bevacizumab",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Altuzan, 2: Bevacizumab",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Bevacizumab, 2: Altuzan",2,2,2,2
69,preferred name,833,Bexarotene,brand name,835,Bexgratin,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Bexgratin, 2: Bexarotene",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Bexgratin, 2: Bexarotene",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Bexgratin, 2: Bexarotene",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Bexgratin, 2: Bexarotene",2,2,2,2
70,preferred name,837,Bicalutamide,brand name,838,Calutide,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Calutide, 2: Bicalutamide",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Bicalutamide, 2: Calutide",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Bicalutamide, 2: Calutide",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Calutide, 2: Bicalutamide",2,2,1,2
71,preferred name,842,Binimetinib,brand name,846,Mektovi,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Mektovi, 2: Binimetinib",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Binimetinib, 2: Mektovi",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Mektovi, 2: Binimetinib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Mektovi, 2: Binimetinib",2,2,2,2
73,preferred name,850,Bleomycin,brand name,851,Blenoxane,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Bleomycin, 2: Blenoxane",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Bleomycin, 2: Blenoxane",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Bleomycin, 2: Blenoxane",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Blenoxane, 2: Bleomycin",2,2,2,2
74,preferred name,857,Blinatumomab,brand name,861,Blincyto,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Blinatumomab, 2: Blincyto",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Blinatumomab, 2: Blincyto",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Blincyto, 2: Blinatumomab",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Blinatumomab, 2: Blincyto",2,2,2,2
75,preferred name,862,Bortezomib,brand name,866,Biocure,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Bortezomib, 2: Biocure",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Biocure, 2: Bortezomib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Biocure, 2: Bortezomib",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Bortezomib, 2: Biocure",1,2,2,I
76,preferred name,885,Bosutinib,brand name,887,Bosulif,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Bosulif, 2: Bosutinib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Bosulif, 2: Bosutinib",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Bosutinib, 2: Bosulif",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Bosutinib, 2: Bosulif",2,2,2,2
77,preferred name,888,Brentuximab vedotin,brand name,891,Adcetris,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Brentuximab vedotin, 2: Adcetris",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Adcetris, 2: Brentuximab vedotin",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Brentuximab vedotin, 2: Adcetris",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Brentuximab vedotin, 2: Adcetris",2,2,2,2
78,preferred name,892,Brigatinib,brand name,894,Alunbrig,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Brigatinib, 2: Alunbrig",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Brigatinib, 2: Alunbrig",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Alunbrig, 2: Brigatinib",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Brigatinib, 2: Alunbrig",1,2,2,2
80,preferred name,900,Busulfan,brand name,901,Busilvex,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Busulfan, 2: Busilvex",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Busulfan, 2: Busilvex",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Busilvex, 2: Busulfan",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Busulfan, 2: Busilvex",2,2,2,2
81,preferred name,904,Cabazitaxel,brand name,908,Cabapan,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Cabazitaxel, 2: Cabapan",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Cabazitaxel, 2: Cabapan",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Cabapan, 2: Cabazitaxel",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Cabazitaxel, 2: Cabapan",1,2,2,1
